Data Tag,Best Fit Angle (deg),Error (deg)
Blind_Study_blind_set_001_ntuple,-159.23900723610416,0.40357946436280123
Blind_Study_blind_set_002_ntuple,33.77533342992282,0.4415593167513098
Blind_Study_blind_set_003_ntuple,121.57074981792476,0.38264517745532245
Blind_Study_blind_set_004_ntuple,-165.59651023913008,0.3316832192658854
Blind_Study_blind_set_005_ntuple,-31.182232699779433,0.432876849638278
Blind_Study_blind_set_006_ntuple,92.70881461629932,0.43836932201677375
Blind_Study_blind_set_007_ntuple,-136.91344667705914,0.32736802939326815
Blind_Study_blind_set_008_ntuple,-5.510925625282596,0.43464212326879403
Blind_Study_blind_set_009_ntuple,83.56187261413908,0.48610487555029774
Blind_Study_blind_set_010_ntuple,-18.334464200888476,0.3776594490964392
Blind_Study_blind_set_011_ntuple,155.85582682552732,0.3923455034236105
Blind_Study_blind_set_012_ntuple,-65.29766840646892,0.41614323263811615
Blind_Study_blind_set_013_ntuple,-66.39630332155201,0.39784781380247075
Blind_Study_blind_set_014_ntuple,-149.85313559007204,0.35760532168779846
Blind_Study_blind_set_015_ntuple,87.79707750620435,0.4030641177392324
Blind_Study_blind_set_016_ntuple,49.18193828241325,0.37669700794247696
Blind_Study_blind_set_017_ntuple,85.14793411048379,0.4729530282566698
Blind_Study_blind_set_018_ntuple,-162.9069714322966,0.3228787535304004
Blind_Study_blind_set_019_ntuple,-123.40121019244157,0.38510161981633534
Blind_Study_blind_set_020_ntuple,-88.947105410787,0.41359159689097347
Blind_Study_blind_set_021_ntuple,108.033360431384,0.39799626460847215
Blind_Study_blind_set_022_ntuple,114.29468882143235,0.4263928958988416
Blind_Study_blind_set_023_ntuple,15.190137112630104,0.44681413139287446
Blind_Study_blind_set_024_ntuple,8.594757673225306,0.41782737681580945
Blind_Study_blind_set_025_ntuple,30.010871622138453,0.4035551016746221
Blind_Study_blind_set_026_ntuple,-24.600338673057877,0.4634292564597479
Blind_Study_blind_set_027_ntuple,30.079199274168957,0.4035345917700353
Blind_Study_blind_set_028_ntuple,-121.63244728666487,0.3651832192961852
Blind_Study_blind_set_029_ntuple,-109.82422873210027,0.35781010530032853
Blind_Study_blind_set_030_ntuple,-72.09941182899462,0.41512603066162373
